location_id;name;type;aliases
L6;Bolovanje;OSTALO;slobodni dani
L5;Godišnji odmor;OSTALO;slobodni dani
L8;Neradni dan;OSTALO;slobodni dani
L4;Poslovni put;TEREN;partner|klijent
L3;Poslovnica;TEREN;teren
L7;Rad od kuće;OSTALO;rad od kuće|work from home|home office
L2;Vukovina;URED;ured ILS
L1;Špansko;URED;ured IC
